epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,278.666,2.73136,3.96236,2.26113,0.00382,0.52662,0.00434,0.00078,3.15785,4.20289,2.89081,0.000652482,0.000652482,0.000652482
2,551.008,2.13157,3.43875,1.81766,0.00609,0.8403,0.00733,0.00226,2.08246,3.53058,2.4583,0.00129303,0.00129303,0.00129303
3,816.621,2.06093,3.3737,1.77376,0.0054,0.74525,0.00897,0.00286,2.1026,3.67094,2.02589,0.00190718,0.00190718,0.00190718
4,1073.38,1.98736,3.32972,1.78345,0.00536,0.73954,0.0087,0.00358,1.85632,3.73872,1.90389,0.0018812,0.0018812,0.0018812
5,1329.84,1.97533,3.2823,1.75744,0.00656,0.86122,0.00865,0.00361,1.81675,3.63787,1.86644,0.0018416,0.0018416,0.0018416
6,1590.44,1.95438,3.25419,1.74599,0.00617,0.85171,0.01001,0.00395,2.17696,3.38459,2.19739,0.001802,0.001802,0.001802
7,1851.28,1.89559,3.2378,1.73461,0.00574,0.79278,0.00805,0.00318,2.2518,3.42525,2.16167,0.0017624,0.0017624,0.0017624
8,2117.49,1.90133,3.24515,1.72783,0.00627,0.86502,0.01327,0.00478,2.03377,3.62679,1.97975,0.0017228,0.0017228,0.0017228
9,2404.28,1.87547,3.23999,1.72677,0.00665,0.91065,0.01044,0.00484,1.7787,3.35248,1.79809,0.0016832,0.0016832,0.0016832
10,2662.07,1.91192,3.22656,1.72977,0.00685,0.84411,0.01339,0.00586,1.94129,3.4543,1.91932,0.0016436,0.0016436,0.0016436
11,2918.57,1.88957,3.19134,1.71723,0.0066,0.90304,0.01296,0.00572,1.80935,3.28392,1.84893,0.001604,0.001604,0.001604
12,3175.4,1.89306,3.22586,1.74433,0.00627,0.86502,0.01701,0.00718,1.90429,3.27293,1.83839,0.0015644,0.0015644,0.0015644
13,3435.28,1.85771,3.19082,1.70274,0.00634,0.85932,0.01605,0.00706,1.68737,3.32731,1.74507,0.0015248,0.0015248,0.0015248
14,3694.04,1.83308,3.22414,1.6879,0.00662,0.86882,0.01413,0.00657,1.64997,3.32023,1.72469,0.0014852,0.0014852,0.0014852
15,3947.56,1.83112,3.16223,1.68701,0.00677,0.86882,0.0182,0.00812,1.7349,3.29365,1.78749,0.0014456,0.0014456,0.0014456
16,4205.5,1.82318,3.20175,1.71626,0.05126,0.06844,0.02079,0.00793,1.88757,3.45846,1.96867,0.001406,0.001406,0.001406
17,4461.49,1.81816,3.19137,1.66604,0.00643,0.86122,0.01721,0.00809,1.65524,3.25771,1.70559,0.0013664,0.0013664,0.0013664
18,4717.71,1.8046,3.14796,1.65797,0.00635,0.87643,0.01922,0.00854,1.64074,3.266,1.69686,0.0013268,0.0013268,0.0013268
19,4976.01,1.82128,3.1387,1.66197,0.00621,0.85741,0.02082,0.0085,1.89096,3.39138,1.86751,0.0012872,0.0012872,0.0012872
20,5233.54,1.79161,3.1515,1.65189,0.05164,0.05513,0.02132,0.00921,1.6465,3.24028,1.69856,0.0012476,0.0012476,0.0012476
21,5491.03,1.75598,3.11837,1.65012,0.0071,0.86122,0.01783,0.00863,1.65282,3.27598,1.73346,0.001208,0.001208,0.001208
22,5751.13,1.79992,3.13558,1.65908,0.02716,0.17681,0.01769,0.0078,1.73859,3.27804,1.733,0.0011684,0.0011684,0.0011684
23,6008.07,1.80284,3.15517,1.66508,0.00674,0.88973,0.02461,0.01083,1.74933,3.16832,1.80513,0.0011288,0.0011288,0.0011288
24,6265.25,1.758,3.13473,1.65277,0.03416,0.10456,0.02351,0.01131,1.62414,3.32202,1.69098,0.0010892,0.0010892,0.0010892
25,6523.12,1.75524,3.13208,1.66405,0.00636,0.86882,0.02056,0.00863,1.71923,3.20869,1.74488,0.0010496,0.0010496,0.0010496
26,6779.45,1.73938,3.0961,1.64593,0.00709,0.88403,0.02281,0.00994,1.69188,3.18491,1.74253,0.00101,0.00101,0.00101
