epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1156.09,2.35879,4.08787,1.99335,0.00319,0.88405,0.00777,0.00288,1.74297,3.66301,1.84021,0.000663399,0.000663399,0.000663399
2,2323.37,1.97182,3.5064,1.75387,0.0033,0.91282,0.01143,0.0039,1.71976,3.50104,1.77638,0.00130373,0.00130373,0.00130373
3,3481.14,1.94802,3.44778,1.76446,0.00441,0.85876,0.00763,0.00355,1.89237,3.54888,1.91668,0.00191766,0.00191766,0.00191766
4,4636.61,1.90056,3.42196,1.73973,0.00346,0.95728,0.01254,0.0047,1.71983,3.47375,1.72981,0.0018812,0.0018812,0.0018812
5,5785.94,1.85613,3.41691,1.72342,0.00349,0.96774,0.01047,0.00445,1.60862,3.44797,1.70069,0.0018416,0.0018416,0.0018416
6,6944.08,1.83976,3.39758,1.68757,0.00395,0.87358,0.00917,0.00427,1.58109,3.51154,1.67252,0.001802,0.001802,0.001802
7,8098.45,1.81261,3.38992,1.68036,0.00347,0.9599,0.01218,0.00523,1.59066,3.47812,1.69956,0.0017624,0.0017624,0.0017624
8,9237.53,1.80189,3.38683,1.67193,0.0035,0.96251,0.00934,0.00434,1.59455,3.45942,1.69096,0.0017228,0.0017228,0.0017228
9,10370.6,1.78988,3.39939,1.66713,0.00346,0.95728,0.01155,0.00478,1.79886,3.43821,1.86524,0.0016832,0.0016832,0.0016832
10,11517.3,1.78094,3.40207,1.65831,0.00356,0.97384,0.01485,0.0058,1.61161,3.39792,1.69034,0.0016436,0.0016436,0.0016436
11,12661.2,1.77849,3.38271,1.65093,0.00341,0.94159,0.01149,0.00472,1.83297,3.41913,1.80522,0.001604,0.001604,0.001604
12,13813.5,1.76769,3.38626,1.65772,0.00372,0.95205,0.01343,0.00509,1.55014,3.44548,1.63303,0.0015644,0.0015644,0.0015644
13,14964.5,1.74792,3.38562,1.63496,0.00343,0.95031,0.00998,0.00453,1.55069,3.46882,1.66921,0.0015248,0.0015248,0.0015248
14,16113.5,1.75157,3.37398,1.63382,0.00379,0.966,0.01154,0.00517,1.58371,3.40354,1.6605,0.0014852,0.0014852,0.0014852
15,17273.1,1.73736,3.38273,1.63401,0.00368,0.95641,0.01106,0.00476,1.5369,3.46069,1.66516,0.0014456,0.0014456,0.0014456
16,18430.9,1.7245,3.3871,1.61878,0.00435,0.89451,0.01035,0.00474,1.57062,3.46977,1.69801,0.001406,0.001406,0.001406
17,19580.7,1.71932,3.37779,1.62359,0.00376,0.94769,0.01019,0.00473,1.56708,3.43931,1.66696,0.0013664,0.0013664,0.0013664
18,20740.4,1.72783,3.38593,1.61934,0.00342,0.94769,0.01054,0.00476,1.55563,3.46319,1.66279,0.0013268,0.0013268,0.0013268
19,21898.7,1.71806,3.38526,1.61104,0.00373,0.96513,0.01343,0.00566,1.55872,3.42875,1.66265,0.0012872,0.0012872,0.0012872
20,23052,1.72364,3.38831,1.61794,0.00363,0.95902,0.01082,0.00519,1.55255,3.44411,1.65385,0.0012476,0.0012476,0.0012476
21,24199.8,1.70488,3.37697,1.60683,0.00346,0.95728,0.01071,0.00507,1.51583,3.47326,1.65725,0.001208,0.001208,0.001208
22,25361.3,1.70897,3.38885,1.60524,0.00346,0.95728,0.01004,0.00454,1.51855,3.47725,1.64424,0.0011684,0.0011684,0.0011684
23,26511.8,1.69548,3.38423,1.60266,0.00349,0.96687,0.01035,0.00473,1.52314,3.45015,1.65073,0.0011288,0.0011288,0.0011288
24,27662.4,1.68317,3.39055,1.60405,0.00346,0.94682,0.01028,0.00463,1.54815,3.46627,1.66319,0.0010892,0.0010892,0.0010892
25,28806,1.68822,3.38521,1.5972,0.00341,0.94333,0.01432,0.00588,1.50488,3.46888,1.6279,0.0010496,0.0010496,0.0010496
26,29959.1,1.68076,3.4031,1.59468,0.00348,0.9599,0.01173,0.00558,1.52932,3.45204,1.63829,0.00101,0.00101,0.00101
27,31102.4,1.6931,3.37443,1.5875,0.00345,0.95379,0.00974,0.00448,1.56268,3.46406,1.65423,0.0009704,0.0009704,0.0009704
