epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,269.65,2.81945,4.74334,2.3473,0.00302,0.88686,0.00338,0.00105,2.01273,4.34924,1.95651,0.000653061,0.000653061,0.000653061
2,538.028,2.17827,3.91316,1.87467,0.00148,0.43431,0.00124,0.0003,2.69886,4.25886,2.52762,0.0012936,0.0012936,0.0012936
3,803.193,2.06864,3.67462,1.80944,0.00319,0.4927,0.00486,0.00154,2.77627,3.89669,2.54594,0.00190773,0.00190773,0.00190773
4,1068.19,2.04323,3.5679,1.81032,0.00165,0.28467,0.00128,0.00034,2.92056,4.41329,2.37778,0.0018812,0.0018812,0.0018812
5,1334.06,1.97097,3.4798,1.77312,0.00333,0.9708,0.01268,0.00648,1.92506,3.52397,1.92464,0.0018416,0.0018416,0.0018416
6,1601.71,1.92678,3.44216,1.77659,0.00321,0.93431,0.00733,0.00321,1.81097,3.55575,1.80042,0.001802,0.001802,0.001802
7,1868.55,1.9447,3.41071,1.77074,0.00307,0.90146,0.00804,0.00224,2.54924,3.68012,2.32899,0.0017624,0.0017624,0.0017624
8,2136.6,1.9323,3.40762,1.75058,0.00292,0.85766,0.0042,0.00194,1.95201,4.16527,1.96,0.0017228,0.0017228,0.0017228
9,2406.39,1.90225,3.39036,1.73199,0.00341,0.98175,0.00961,0.00447,1.70866,3.43347,1.75975,0.0016832,0.0016832,0.0016832
10,2684.84,1.93614,3.41602,1.7775,0.00333,0.9781,0.01319,0.0055,1.59361,3.55023,1.71248,0.0016436,0.0016436,0.0016436
11,2952.9,1.90865,3.39292,1.73003,0.00333,0.9635,0.00822,0.00365,1.76232,3.46653,1.78284,0.001604,0.001604,0.001604
12,3223.41,1.90243,3.39117,1.72546,0.00332,0.9708,0.01069,0.0042,1.69884,3.44243,1.72322,0.0015644,0.0015644,0.0015644
13,3495.53,1.91591,3.38382,1.75802,0.0035,0.9854,0.01314,0.00537,1.80067,3.46001,1.78934,0.0015248,0.0015248,0.0015248
14,3768.05,1.87249,3.38126,1.71196,0.00336,0.9854,0.012,0.0052,1.6248,3.47763,1.69793,0.0014852,0.0014852,0.0014852
15,4038.53,1.88926,3.37277,1.73223,0.00334,0.9781,0.01258,0.00594,1.78717,3.42466,1.79592,0.0014456,0.0014456,0.0014456
16,4312.66,1.84747,3.38764,1.71271,0.00336,0.9708,0.00982,0.00455,1.68697,3.45528,1.76443,0.001406,0.001406,0.001406
17,4581.52,1.8403,3.39318,1.69842,0.00414,0.9708,0.01148,0.00463,1.95549,3.359,1.97947,0.0013664,0.0013664,0.0013664
18,4850.72,1.81648,3.36524,1.67942,0.00382,0.97445,0.00999,0.0044,1.66007,3.44511,1.7217,0.0013268,0.0013268,0.0013268
19,5119.08,1.86255,3.36267,1.71227,0.00407,0.92701,0.00985,0.0044,1.66724,3.47581,1.69801,0.0012872,0.0012872,0.0012872
20,5388.83,1.82611,3.37311,1.6815,0.00414,0.93431,0.00964,0.00447,1.70187,3.43483,1.81163,0.0012476,0.0012476,0.0012476
21,5658.37,1.79884,3.35184,1.66313,0.00435,0.88686,0.00978,0.0045,1.72569,3.45187,1.74474,0.001208,0.001208,0.001208
22,5929.52,1.79838,3.36883,1.67707,0.00339,0.9854,0.01089,0.00477,1.73561,3.42618,1.73111,0.0011684,0.0011684,0.0011684
23,6203.68,1.82183,3.37441,1.69017,0.00376,0.9927,0.0099,0.00458,1.6137,3.4176,1.69827,0.0011288,0.0011288,0.0011288
24,6505.71,1.79395,3.35763,1.6803,0.00338,0.9781,0.01151,0.00502,1.6893,3.43116,1.70391,0.0010892,0.0010892,0.0010892
25,6782.53,1.78294,3.35819,1.66326,0.00383,0.9708,0.01188,0.00498,1.64699,3.43237,1.67948,0.0010496,0.0010496,0.0010496
26,7054.58,1.80196,3.34501,1.65655,0.00381,0.9635,0.01196,0.00522,1.61384,3.42496,1.68766,0.00101,0.00101,0.00101
27,7327.85,1.79115,3.34289,1.66252,0.00376,0.98905,0.01173,0.00509,1.61304,3.39744,1.66306,0.0009704,0.0009704,0.0009704
28,7599.97,1.77952,3.3358,1.67073,0.00442,0.94161,0.01041,0.00483,1.622,3.40907,1.66402,0.0009308,0.0009308,0.0009308
29,7873.97,1.7722,3.33326,1.64046,0.0038,0.9708,0.01174,0.0051,1.59724,3.40779,1.67132,0.0008912,0.0008912,0.0008912
30,8142.83,1.77272,3.34313,1.65057,0.00416,0.9562,0.01094,0.0047,1.60205,3.4141,1.6813,0.0008516,0.0008516,0.0008516
31,8406.15,1.75271,3.36585,1.65046,0.00345,0.98175,0.01262,0.00555,1.57875,3.431,1.66511,0.000812,0.000812,0.000812
32,8670.3,1.74496,3.34549,1.6618,0.00408,0.9635,0.01134,0.00517,1.58354,3.43172,1.68454,0.0007724,0.0007724,0.0007724
33,8934.74,1.76253,3.35403,1.64419,0.00408,0.9708,0.01153,0.0052,1.5757,3.41463,1.65065,0.0007328,0.0007328,0.0007328
34,9201.2,1.76174,3.32068,1.6349,0.00374,0.9781,0.01128,0.00494,1.60007,3.41335,1.66681,0.0006932,0.0006932,0.0006932
35,9465.54,1.74044,3.33889,1.63375,0.00355,0.9781,0.01329,0.00597,1.56061,3.42266,1.68866,0.0006536,0.0006536,0.0006536
36,9731.34,1.71486,3.34292,1.6441,0.00362,0.9927,0.01156,0.00532,1.57104,3.40782,1.67455,0.000614,0.000614,0.000614
37,9996.96,1.70922,3.36839,1.64513,0.00357,0.98175,0.01115,0.00561,1.53829,3.42586,1.64447,0.0005744,0.0005744,0.0005744
38,10262.7,1.74367,3.34316,1.60734,0.00334,0.9781,0.01106,0.00518,1.53377,3.4512,1.64471,0.0005348,0.0005348,0.0005348
39,10528.4,1.68808,3.34241,1.60589,0.00364,0.97445,0.01189,0.00566,1.50473,3.44303,1.64143,0.0004952,0.0004952,0.0004952
40,10791.8,1.71946,3.32833,1.60648,0.0037,0.95985,0.01211,0.00528,1.5302,3.44015,1.64218,0.0004556,0.0004556,0.0004556
41,11058.3,1.55121,3.44685,1.6744,0.00331,0.9708,0.01115,0.00484,1.52071,3.54251,1.66117,0.000416,0.000416,0.000416
42,11320,1.5314,3.42772,1.67146,0.0034,0.9854,0.01675,0.00882,1.5201,3.43502,1.64976,0.0003764,0.0003764,0.0003764
43,11587.3,1.55163,3.40994,1.64586,0.00378,0.9781,0.01282,0.00553,1.52957,3.4211,1.63524,0.0003368,0.0003368,0.0003368
44,11859.2,1.55923,3.40051,1.65533,0.0039,0.97445,0.01278,0.00549,1.51835,3.40474,1.64992,0.0002972,0.0002972,0.0002972
45,12123.1,1.54322,3.40846,1.66765,0.00373,0.9781,0.01243,0.00523,1.53571,3.40769,1.65695,0.0002576,0.0002576,0.0002576
46,12387.9,1.50242,3.4085,1.65386,0.00345,0.9781,0.01422,0.00584,1.53176,3.42091,1.63621,0.000218,0.000218,0.000218
47,12650.8,1.51538,3.40389,1.63417,0.0036,0.98175,0.01796,0.00759,1.50148,3.4141,1.63408,0.0001784,0.0001784,0.0001784
48,12913.1,1.52059,3.39751,1.63368,0.00351,0.98175,0.01756,0.0066,1.52462,3.40989,1.63694,0.0001388,0.0001388,0.0001388
49,13176.4,1.48448,3.40471,1.64182,0.00355,0.98175,0.01738,0.00703,1.5027,3.4217,1.64079,9.92e-05,9.92e-05,9.92e-05
50,13440.7,1.48788,3.3985,1.63936,0.00358,0.9927,0.01743,0.00745,1.49348,3.42357,1.63985,5.96e-05,5.96e-05,5.96e-05
