epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3137.76,2.14235,3.70035,1.85729,0.004,0.96332,0.01246,0.00524,1.82277,3.32935,1.9339,0.00066547,0.00066547,0.00066547
2,6250.32,1.86905,3.3452,1.70705,0.00513,0.90165,0.01358,0.00534,1.95877,3.37737,2.02975,0.00130576,0.00130576,0.00130576
3,9366.12,1.82608,3.33484,1.69667,0.00468,0.93375,0.01493,0.00599,1.63582,3.38676,1.71171,0.00191965,0.00191965,0.00191965
4,12470.5,1.78757,3.31527,1.66856,0.0045,0.93145,0.01122,0.00504,1.62713,3.39584,1.70331,0.0018812,0.0018812,0.0018812
5,15561.1,1.76415,3.31401,1.6517,0.00422,0.95002,0.01018,0.00481,1.56483,3.40833,1.68789,0.0018416,0.0018416,0.0018416
6,19971.1,1.74063,3.30893,1.63446,0.00399,0.94154,0.01337,0.00546,1.52435,3.40416,1.65899,0.001802,0.001802,0.001802
7,31962.3,1.7168,3.32451,1.63175,0.00467,0.91265,0.0108,0.00499,1.52172,3.44173,1.63807,0.0017624,0.0017624,0.0017624
8,35094.7,1.70803,3.31401,1.61693,0.00412,0.94269,0.01254,0.00533,1.5268,3.41308,1.66167,0.0017228,0.0017228,0.0017228
9,38219.6,1.69847,3.30812,1.60816,0.00393,0.94681,0.00982,0.00465,1.53675,3.40868,1.66129,0.0016832,0.0016832,0.0016832
10,41347.4,1.69437,3.31509,1.60785,0.00398,0.95805,0.01232,0.00543,1.52894,3.39687,1.64512,0.0016436,0.0016436,0.0016436
11,44460,1.68007,3.31837,1.5994,0.00388,0.9342,0.01075,0.00476,1.6366,3.44776,1.69178,0.001604,0.001604,0.001604
12,47559.7,1.6762,3.31645,1.58678,0.00402,0.96951,0.01451,0.00631,1.50018,3.39124,1.60121,0.0015644,0.0015644,0.0015644
13,50675.5,1.67434,3.31139,1.59265,0.00393,0.94681,0.01305,0.00553,1.48673,3.39878,1.61465,0.0015248,0.0015248,0.0015248
14,53793.2,1.66255,3.31808,1.58118,0.00411,0.93375,0.01378,0.00584,1.47924,3.40857,1.61058,0.0014852,0.0014852,0.0014852
15,56908.8,1.66958,3.314,1.58516,0.0039,0.93879,0.01208,0.00572,1.5185,3.40202,1.62702,0.0014456,0.0014456,0.0014456
16,60046.4,1.66169,3.29298,1.57934,0.00433,0.95644,0.0211,0.00889,1.47111,3.24621,1.6006,0.001406,0.001406,0.001406
17,63176.4,1.65117,3.20246,1.57605,0.00597,0.94635,0.025,0.01142,1.48362,3.14417,1.61728,0.0013664,0.0013664,0.0013664
18,66272.6,1.62971,3.11041,1.56054,0.00581,0.96424,0.05393,0.02304,1.41742,2.971,1.55809,0.0013268,0.0013268,0.0013268
19,69370.6,1.59317,3.01399,1.53267,0.00802,0.96378,0.11914,0.04736,1.387,2.79574,1.53538,0.0012872,0.0012872,0.0012872
20,72461.7,1.57604,2.93645,1.5159,0.00759,0.96561,0.10518,0.03967,1.38185,2.85463,1.53279,0.0012476,0.0012476,0.0012476
21,75547,1.55121,2.86187,1.49832,0.12231,0.54104,0.17836,0.07482,1.32306,2.61159,1.51029,0.001208,0.001208,0.001208
22,78646.5,1.53065,2.80332,1.48803,0.17843,0.53393,0.2268,0.1005,1.28627,2.51841,1.46697,0.0011684,0.0011684,0.0011684
23,81757.5,1.51062,2.75688,1.47662,0.2605,0.44911,0.266,0.11744,1.26258,2.43653,1.45813,0.0011288,0.0011288,0.0011288
24,84835.4,1.49511,2.71057,1.4678,0.28058,0.49198,0.30323,0.13366,1.27251,2.42904,1.44875,0.0010892,0.0010892,0.0010892
25,87938.4,1.48476,2.66052,1.45794,0.34945,0.52522,0.39608,0.16791,1.26166,2.35368,1.468,0.0010496,0.0010496,0.0010496
26,91047.1,1.46541,2.61077,1.45271,0.50711,0.4232,0.42275,0.18491,1.25597,2.22903,1.48683,0.00101,0.00101,0.00101
27,94130.5,1.46071,2.55011,1.4455,0.42007,0.43099,0.41259,0.19211,1.25174,2.20536,1.4281,0.0009704,0.0009704,0.0009704
28,97206.8,1.45225,2.48835,1.44187,0.69297,0.42947,0.52971,0.24757,1.20565,2.07449,1.43703,0.0009308,0.0009308,0.0009308
29,100298,1.43955,2.43042,1.43313,0.66673,0.47524,0.55336,0.27532,1.18772,2.01661,1.40906,0.0008912,0.0008912,0.0008912
30,103414,1.43026,2.40022,1.43007,0.61204,0.49295,0.55928,0.28836,1.19543,1.94193,1.406,0.0008516,0.0008516,0.0008516
31,106538,1.4237,2.34483,1.41984,0.65044,0.53874,0.60542,0.30599,1.15816,1.88528,1.38802,0.000812,0.000812,0.000812
32,109606,1.41167,2.27934,1.41365,0.67927,0.53714,0.62529,0.328,1.16768,1.84406,1.38734,0.0007724,0.0007724,0.0007724
33,112649,1.39991,2.23478,1.41201,0.80781,0.54883,0.66542,0.34864,1.14623,1.79376,1.37455,0.0007328,0.0007328,0.0007328
34,115726,1.39548,2.21537,1.40777,0.76823,0.56029,0.67426,0.36276,1.15955,1.75473,1.38484,0.0006932,0.0006932,0.0006932
35,118849,1.38621,2.15745,1.40369,0.80913,0.58115,0.7121,0.39616,1.11177,1.69399,1.36222,0.0006536,0.0006536,0.0006536
36,121912,1.37695,2.12507,1.39421,0.78574,0.57588,0.70768,0.37985,1.13224,1.69533,1.35435,0.000614,0.000614,0.000614
37,125008,1.37213,2.09044,1.39526,0.82337,0.59737,0.73986,0.4123,1.11805,1.62783,1.36584,0.0005744,0.0005744,0.0005744
38,128123,1.36093,2.07554,1.38239,0.82637,0.62737,0.76148,0.43029,1.10278,1.59082,1.34347,0.0005348,0.0005348,0.0005348
39,131228,1.3614,2.03372,1.37899,0.84875,0.6471,0.77636,0.43433,1.11325,1.55304,1.35021,0.0004952,0.0004952,0.0004952
40,134316,1.34763,2.01464,1.37185,0.84789,0.66139,0.78417,0.44913,1.07338,1.53843,1.31297,0.0004556,0.0004556,0.0004556
41,137420,1.21297,1.68988,1.38868,0.84709,0.674,0.79837,0.48307,1.05116,1.45388,1.28556,0.000416,0.000416,0.000416
42,140523,1.1757,1.57159,1.36188,0.88824,0.69787,0.82919,0.52183,1.01375,1.38095,1.25759,0.0003764,0.0003764,0.0003764
43,143633,1.15496,1.52093,1.35216,0.89047,0.72132,0.84682,0.53139,1.01512,1.34583,1.26783,0.0003368,0.0003368,0.0003368
44,146743,1.13583,1.45542,1.32358,0.88423,0.74163,0.85939,0.55251,0.99161,1.30263,1.2231,0.0002972,0.0002972,0.0002972
45,149844,1.12308,1.42163,1.31462,0.88439,0.7492,0.86458,0.56098,0.97949,1.28405,1.22058,0.0002576,0.0002576,0.0002576
46,152930,1.11757,1.39143,1.30896,0.89152,0.76494,0.8735,0.57561,0.96697,1.25714,1.20864,0.000218,0.000218,0.000218
47,156037,1.09713,1.32541,1.29133,0.90266,0.78446,0.88456,0.58699,0.96736,1.21479,1.20503,0.0001784,0.0001784,0.0001784
48,159126,1.08797,1.30913,1.28166,0.89875,0.77938,0.88515,0.5852,0.9704,1.20203,1.21506,0.0001388,0.0001388,0.0001388
49,162215,1.06468,1.28537,1.25927,0.90458,0.79528,0.89295,0.59562,0.96489,1.18013,1.1949,9.92e-05,9.92e-05,9.92e-05
50,165307,1.05552,1.26145,1.24714,0.90636,0.79849,0.89336,0.60131,0.96084,1.17605,1.19031,5.96e-05,5.96e-05,5.96e-05
