epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,272.622,0.91871,1.80276,1.21523,0.93469,0.57864,0.62609,0.50209,0.72673,1.0102,1.02651,0.000467827,0.000467827,0.000467827
2,540.445,0.73419,0.79656,1.09933,0.88722,0.82096,0.94863,0.73997,0.68441,0.8158,0.97129,0.000925466,0.000925466,0.000925466
3,2325.07,0.69011,0.66657,1.05096,0.89485,0.89181,0.93804,0.71037,0.78681,0.77474,1.01181,0.00136424,0.00136424,0.00136424
4,3081.7,0.69509,0.61485,1.04477,0.91115,0.93816,0.9708,0.77431,0.62549,0.58203,0.99635,0.00134412,0.00134412,0.00134412
5,3343.72,0.65645,0.56996,1.02322,0.91445,0.94683,0.96864,0.78813,0.58614,0.53071,0.9436,0.00131582,0.00131582,0.00131582
6,3797.92,0.62879,0.53666,1.00841,0.9252,0.92797,0.96832,0.79667,0.5572,0.53253,0.93772,0.00128753,0.00128753,0.00128753
7,4365.63,0.62268,0.50746,0.99849,0.92789,0.93522,0.96738,0.80377,0.53369,0.53563,0.94871,0.00125923,0.00125923,0.00125923
8,8674.52,0.6173,0.50482,0.99791,0.93848,0.91385,0.97432,0.8008,0.5727,0.48561,0.97312,0.00123094,0.00123094,0.00123094
9,8944.8,0.6542,0.51182,1.0113,0.93132,0.95932,0.97319,0.8031,0.55411,0.48124,0.94703,0.00120265,0.00120265,0.00120265
10,9215.2,0.61527,0.47799,0.99265,0.93041,0.92637,0.97529,0.80496,0.5597,0.49563,0.94554,0.00117435,0.00117435,0.00117435
11,9483.72,0.59601,0.45519,0.98272,0.92474,0.95446,0.97493,0.79382,0.60751,0.47329,0.97274,0.00114606,0.00114606,0.00114606
12,9754.71,0.59261,0.45922,0.99053,0.93743,0.93817,0.97596,0.77005,0.62081,0.45888,0.95741,0.00111776,0.00111776,0.00111776
13,10017.9,0.61278,0.45712,0.99528,0.9432,0.95312,0.98015,0.7978,0.54928,0.43516,0.97936,0.00108947,0.00108947,0.00108947
14,10388.7,0.60394,0.43654,0.98804,0.9509,0.95569,0.98101,0.82366,0.52248,0.4359,0.93697,0.00106118,0.00106118,0.00106118
15,10649.4,0.56485,0.40919,0.96948,0.96084,0.92402,0.97884,0.8192,0.54077,0.38649,0.94319,0.00103288,0.00103288,0.00103288
16,11338.7,0.57254,0.41725,0.97259,0.96267,0.95847,0.97956,0.82516,0.50933,0.36852,0.94687,0.00100459,0.00100459,0.00100459
17,11598.5,0.5585,0.40372,0.96583,0.95041,0.953,0.97859,0.822,0.51711,0.36559,0.94842,0.000976293,0.000976293,0.000976293
